Customer_Age,Product_ID,Product_Class_0,Product_Class_1,Product_Class_2,Product_Class_3,Product_Class_4,Product_Class_5,Product_Class_6,Product_Class_7,Product_Class_8,Product_Class_9,Product_Class_10,Product_Class_11,Product_Class_12,Product_Class_13,Product_Class_14,Product_Class_15,Product_Class_16,Product_Class_17,Product_Class_18,Product_Class_19
29,907,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
53,844,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,895,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,895,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,1080,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
63,831,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
41,844,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
